Modèle,Accuracy,Precision,Recall,F1 Score,ROC AUC
LightGBM,0.9637057700778153,0.9639444024458517,0.9637057700778153,0.963670358476306,0.9992135135978663
XGBoost,0.9620320070474233,0.9623636110810323,0.9620320070474233,0.9620006845291653,0.9991877839068181
CatBoost,0.9256790485978564,0.9269829922162497,0.9256790485978564,0.925724075124754,0.9969923910136735
