Feature,Importance
Away_Team_Strength,44799
Home_Team_Strength,43489
Total_Fouls,14146
Total_Shots,12545
Home_Fouls,11261
Away_Fouls,11244
Home_Shots,11076
Away_Shots,10896
Total_Shots_On_Target,9774
Total_Corners,8766
Home_Corners,8147
Home_Shots_On_Target,7984
Match_Weekday,7971
Home_Dominance_Yellow_Cards,7715
Away_Corners,7565
Total_Yellow_Cards,6922
Away_Shots_On_Target,6776
Away_Yellow_Cards,4274
Home_Yellow_Cards,3979
Is_Weekend,365
