Training Size,Train Mean,Train Std,Test Mean,Test Std
6356,1.0,0.0,0.7486519839912227,0.0027511886047548316
12713,0.9999370747788131,3.146261059345789e-05,0.803665392217195,0.002460669807817784
19070,0.999255352859706,0.0002577752608521257,0.838858902999635,0.0029219721951098693
25426,0.998285782655006,5.312834958884598e-05,0.8618761595685965,0.002520143036823516
31783,0.9961242362533257,0.00042906158467638164,0.8756937488862772,0.0024978058728219814
38140,0.9934890364299026,0.0008638492908505914,0.8902356458332191,0.002666259226306306
44496,0.9912011729613512,0.0006917123097322311,0.8978589167113707,0.0030409634806720333
50853,0.9891353448205278,0.00047565365965504894,0.9056307947675271,0.0026073756881011606
57210,0.986578606658113,0.000628265594595934,0.9112994044446504,0.0012061129427925355
63567,0.9847554803429244,0.0007578276407193416,0.915052598368432,0.0020850075229049392
