Training Size,Train Mean,Train Std,Test Mean,Test Std
6356,1.0,0.0,0.8975587499992447,0.0018257575594888898
12713,1.0,0.0,0.9312640760077668,0.0016182188815742576
19070,0.9999580500950161,2.0974952548127004e-05,0.9426016108228659,0.000635279059872505
25426,0.9997797440773109,6.85733753172928e-05,0.9495128934348127,0.000997174562031556
31783,0.9996349784095331,5.4859199255025285e-05,0.9525516972577908,0.001566918890074927
38140,0.9992499413396196,0.0001384205832283728,0.9556609873424031,0.00046791992670365464
44496,0.998803943070681,0.00017961415715844428,0.9574011080145268,0.0007934100393744944
50853,0.9981898692885091,0.00012625051628880083,0.9590178587499384,0.0004347927052355699
57210,0.9975862239497124,0.00019061795753230187,0.9603737320332314,0.0008699422327928141
63567,0.9966465399916654,0.00014359968548721,0.9615013527849176,0.0011128563608910405
